"","titulo","relator","data_de_publicacao","data_de_julgamento","orgao_julgador","ementa","base"
"132","RE 1131639 ED-AgR","EDSON FACHIN","01/07/2019","31/05/2019","Segunda Turma","Ementa: AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO. CONSTITUCIONAL E ELEITORAL. MANDATO EXERCIDO EM CARÁTER TEMPORÁRIO: INAPLICABILIDADE DA INELEGIBILIDADE PREVISTA NO ART. 14, § 5º, DA CRFB.    1. O agravo regimental interposto em face de decisão monocrática do Relator, ainda que de matéria eleitoral, é regido pelo art. 1.021 do Código de Processo Civil. Precedentes.    2. Desde que antes do interstício de seis meses e até que ocorra a eleição, a substituição do prefeito, nos casos de dupla vacância, tem natureza temporária, a afastar a causa de inelegibilidade prevista no art. 14, § 5º, da CRFB. Precedentes.    3. Agravo regimental a que se nega provimento.","eleicao"
"133","RE 366488","CARLOS VELLOSO","28/10/2005","04/10/2005","Segunda Turma","EMENTA: CONSTITUCIONAL. ELEITORAL. VICE-GOVERNADOR ELEITO DUASVEZES CONSECUTIVAS: EXERCÍCIO DO CARGO DE GOVERNADOR POR SUCESSÃO DO TITULAR: REELEIÇÃO: POSSIBILIDADE. CF, art. 14, § 5º.I. -Vice-governador eleito duas vezes para o cargo de vice-governador.No segundo mandato de vice, sucedeu o titular. Certo que, no seuprimeiro mandato de vice, teria substituído o governador.Possibilidade de reeleger-se ao cargo de governador, porque oexercício da titularidade do cargo dá-se mediante eleição ou porsucessão. Somente quando sucedeu o titular é que passou a exercer oseu primeiro mandato como titular do cargo.II. - Inteligência dodisposto no § 5º do art. 14 da Constituição Federal.III. - REconhecidos e improvidos.","eleicao"
"134","Rcl 3024 AgR","RICARDO LEWANDOWSKI","25/08/2006","30/06/2006","Tribunal Pleno","EMENTA: RECLAMAÇÃO. ALEGADA USURPAÇÃO DE COMPETÊNCIA DO STF. PERDASUPERVENIENTE DE OBJETO. AGRAVO REGIMENTAL. RECURSO IMPROVIDO.I -Reintegração de dirigentes sindicais em momento posterior àautuação, nesta Corte, de Ação Originária, derivada de Ação Cautelar Inominada perante Tribunal de Justiça local.II - Alegadausurpação de competência do STF.III - Reclamação promovida pordirigente sindical, cujo mandato veio a extinguir-se no curso doprocesso, em razão da realização de novas eleições. Posse de novaDiretoria.IV - Perda superveniente de interesse jurídico econseqüente extinção da ação reclamatória.V - Agravo regimentalimprovido.","eleicao"
"135","RHC 109374","DIAS TOFFOLI","06/12/2011","22/11/2011","Primeira Turma","EMENTA    RECURSO ORDINÁRIO EM HABEAS CORPUS. Tráfico de entorpecentes. Causa de diminuição de pena (art. 33, § 4º, da Lei nº 11.343/06). Eleição do grau de redução. Motivação idônea para a redução em grau intermediário. Recurso não provido. Conversão da pena privativa de liberdade em pena restritiva de direitos. Possibilidade. Precedentes. Questão, todavia, não analisada pelas instâncias antecedentes. Ordem de habeas corpus concedida de ofício.    1. Encontra-se convenientemente motivada a eleição do grau de redução pela minorante do § 4º do art. 33 da Lei 11.343/06.    2. Embora o paciente seja primário, a natureza da droga apreendida (42 pedras de crack) justificam a diminuição da pena em 1/3 (um terço).    3. Recurso não provido.    4. Impossibilidade de análise em sede recursal de temas não apreciados nas instâncias antecedentes, sob pena de indevida supressão de instância.    5. A jurisprudência desta Suprema Corte admite a possibilidade de substituição da pena privativa de liberdade por pena restritiva de direitos, mesmo quando se trata do delito de tráfico ilícito de entorpecentes. Precedentes. Questão, todavia, não analisada pelas instâncias antecedentes.    6. Ordem de habeas corpus concedida de ofício.","eleicao"
"136","ADI 1817 MC","SEPÚLVEDA PERTENCE","14/06/2002","23/04/1998","Tribunal Pleno","EMENTA: Partido político: argüição de inconstitucionalidade do art. 4ºda L. 9.504/97, que limita o direito a participar das eleições aospartidos que, até um ano antes delas, tenham os estatutos registradosno Tribunal Superior Eleitoral: suspensão cautelar indeferida.        1. Já foram reputadas inconstitucionais, porque ofensivas dosubstantive due process of law, leis que estabeleceram limitações àatuação eleitoral de partidos políticos à base de dados já conhecidosao tempo de sua edição (v.g., ADInMC 598, 20.10.93, e ADInMC 966,11.5.94): o mesmo raciocínio daria consistência ao questionamento daaplicação da norma impugnada ao processo eleitoral de 1998, não fosseela praticamente ociosa, à vista da exigência legal de filiaçãopartidária até um ano antes do pleito, erigida em condição deelegibilidade dos candidatos, com base no art. 14, § 3º, V, daConstituição.","eleicao"
"137","HC 105799","DIAS TOFFOLI","16/11/2011","11/10/2011","Primeira Turma","EMENTA    Habeas corpus. Tráfico de entorpecentes. Causa de diminuição de pena (art. 33, § 4º, da Lei nº 11.343/06). Eleição do grau de redução. Ausência de motivação idônea para a redução em grau intermediário. Conversão da pena privativa de liberdade em pena restritiva de direitos. Possibilidade. Precedentes. Ordem concedida.    1. A mera reiteração dos requisitos legais não supre a necessidade de fundamentação quanto à eleição do grau de redução pela minorante do § 4º do art. 33 da Lei 11.343/06.    2. Reduz-se a pena imposta ao paciente na Ação Penal nº 2008.32.00.006462-2/AM - que tramitou perante a 4ª Vara Federal de Manaus/AM - para um (1) ano, onze (11) meses e dez (10) dias de reclusão e cento e noventa e quatro (194) dias-multa, no valor unitário mínimo legal, com determinação de expedição do competente alvará de soltura clausulado caso já cumprida integralmente a reprimenda corporal imposta.    3. A jurisprudência desta Suprema Corte admite a possibilidade de substituição da pena privativa de liberdade por pena restritiva de direitos, mesmo se tratando do delito de tráfico ilícito de entorpecentes. Precedentes.    4. Ordem concedida.","eleicao"
"138","ARE 1134133 AgR","GILMAR MENDES","27/08/2018","17/08/2018","Segunda Turma","Agravo regimental em recurso extraordinário com agravo. 2. Direito Processual Civil. 3. Cláusula de eleição de foro. Abusividade. 4. Matéria infraconstitucional. Ofensa reflexa à Constituição Federal. Necessidade de reexame do acervo probatório e de cláusulas contratuais. Súmulas 279 e 454 do STF. Precedentes. 5. Alegada violação às garantias constitucionais à ampla defesa, ao contraditório e à inafastabilidade jurisdicional. Temas 660 e 895 da sistemática da repercussão geral (ARE-RG 748.371, de minha relatoria, DJe 1º.8.2013, e RE-RG 956.302, Rel. Min. Edson Fachin, DJe 16.6.2016, respectivamente). 6. Ausência de argumentos capazes de infirmar a decisão agravada. 7. Negativa de provimento ao agravo regimental.","eleicao"
"139","MS 27613 ED","RICARDO LEWANDOWSKI","13/08/2010","01/07/2010","Tribunal Pleno","EMENTA: EMBARGOS DE DECLARAÇÃO EM MANDADO DE SEGURANÇA.    PRESSUPOSTOS. NÃO ATENDIMENTO. DIREITO LÍQUIDO E CERTO. AUSÊNCIA DE    PROVA DA DIPLOMAÇÃO. IMPOSSIBILIDADE. EMBARGOS REJEITADOS.I -    Ausência de pressupostos (art. 535, I e II, do CPC) para a oposição    de embargos de declaração. Inexistência de omissão no acórdão    embargado.II - O acórdão examinou de forma adequada a matéria,    tendo sido apreciadas, inteiramente, as questões que se    apresentavam.III - Ademais, diversamente do que afirmado, não    poderia o impetrante, 2º colocado nas eleições para Senador da    República, apresentar-se para diplomação, pois, nos termos do art.    215 do Código Eleitoral, apenas os candidatos eleitos e os suplentes   recebem diploma.IV - Embargos de declaração rejeitados.","eleicao"
"140","RHC 107445","AYRES BRITTO","04/10/2011","17/05/2011","Segunda Turma","EMENTA: RECURSO ORDINÁRIO EM HABEAS CORPUS. TRÁFICO DE ENTORPECENTES. CAUSA DE DIMINUIÇÃO DE PENA (§ 4º DO ART. 33 DA LEI 11.343/2006). ELEIÇÃO DO GRAU DE REDUÇÃO. AUSÊNCIA DE MOTIVAÇÃO VÁLIDA PARA A REDUÇÃO NO GRAU MÍNIMO. RECURSO PARCIALMENTE PROVIDO.    1. A necessidade de fundamentação dos pronunciamentos judiciais (inciso IX do art. 93 da Constituição Federal) tem na fixação da pena um dos seus momentos culminantes. Trata-se de garantia constitucional que submete o magistrado a coordenadas objetivas de imparcialidade e propicia às partes conhecer os motivos que levaram o julgador a decidir neste ou naquele sentido.    2. A eleição do grau de redução da pena aplicada ao paciente (§ 4º do art. 33 da Lei 11.343/2006) requer fundamentação idônea.    3. Recurso parcialmente provido para determinar ao Juízo processante que refaça a dosimetria da pena quanto à causa de diminuição da reprimenda, como entender de direito. Juízo que deverá examinar se estão presentes os requisitos da substituição da pena privativa de liberdade por pena restritiva de direitos (art. 44 do Código Penal), conforme decisão proferida nos autos do HC 97.256 (Plenário), de minha relatoria.","eleicao"
"141","ADI 5122","EDSON FACHIN","20/02/2020","03/05/2018","Tribunal Pleno","Ementa: 1. Ação Direta de Inconstitucionalidade. 2. Art. 25, § 2º, da Resolução 23.404, de 05 de março de 2014, do TSE, que dispõe sobre propaganda eleitoral e condutas ilícitas em campanha eleitoral nas Eleições de 2014. Vedação à realização de propaganda eleitoral via telemarketing, em qualquer horário. 3. Pressupostos formais da ação observados. 4. Perda de objeto. Inocorrência. Relevância transcendente da matéria e produção de efeitos prospectivos. Precedentes. 5. Usurpação de competência do Congresso Nacional para legislar sobre Direito Eleitoral. Inocorrência. Competência do TSE editar Resoluções com vistas a resolver, de forma rápida e eficiente, questões necessárias ao regular processo eleitoral. 6. Censura. Inexistência. A vedação à veiculação de propaganda política por meio de telemarketing não configura controle prévio, por autoridade pública, do conteúdo ou da matéria a ser veiculada. 7. Ação direta de inconstitucionalidade julgada improcedente.","eleicao"
"142","ADI 4134","EDSON FACHIN","02/12/2019","18/10/2019","Tribunal Pleno","Ementa: CONSTITUCIONAL. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. ARTIGO 15, I, DA LEI Nº 8.625/1993. COMPETÊNCIA DO CONSELHO SUPERIOR DO MINISTÉRIO PÚBLICO PARA ELABORAÇÃO DAS LISTAS SÊXTUPLAS. APONTADA VIOLAÇÃO DO ART. 94 DA CONSTITUIÇÃO. NÃO CONFIGURADA. AÇÃO DIRETA JULGADA IMPROCEDENTE.    1. Da leitura do art. 94, da Constituição Federal, não se infere hermenêutica que estabeleça os critérios ou delimite o conceito para caracterização do órgão de representação de classe. Desta forma, a Constituição delegou esta função ao legislador infraconstitucional, a quem cabe definir os órgãos de representação das respectivas classes.    2. Embora sejam elegíveis para integrar o Conselho Superior do Ministério Público, nos termos do art. 14 da Lei nº 8.625/1993, apenas os Procuradores de Justiça, a escolha é realizada por meio de eleição em que votam membros de toda a classe, o que evidencia a representatividade do órgão.    3. Ação direta julgada improcedente.","eleicao"
"143","ADPF 167 MC-REF","EROS GRAU","26/02/2010","01/10/2009","Tribunal Pleno","EMENTA: ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL.    MEDIDA CAUTELAR. ATOS DO TRIBUNAL SUPERIOR ELEITORAL. DECISÕES    JUDICIAIS QUE RECONHECERAM A COMPETÊNCIA ORIGINÁRIA DO TSE PARA    PROCESSAR E JULGAR RECURSOS CONTRA A EXPEDIÇÃO DE DIPLOMAS    DECORRENTES DE ELEIÇÕES ESTADUAIS E FEDERAIS. ALEGAÇÃO DE    VIOLAÇÃO AO DISPOSTO NOS INCISOS LIII, LIV E LV DO ARTIGO 5º E    INCISOS III E IV DO § 4º DO ARTIGO 121, DA CONSTITUIÇÃO DO    BRASIL. FUMUS BONI IURIS E PERICULUM IN MORA NÃO CARACTERIZADOS.    MEDIDA CAUTELAR NÃO REFERENDADA PELO TRIBUNAL    PLENO.1.	Controvérsia quanto à competência do Tribunal Superior    Eleitoral para examinar originariamente recursos contra a    expedição de diplomas decorrentes de eleições estaduais e    federais.2.	O Tribunal admitiu a arguição após o exame de    questão de ordem referente à representação processual do    argüente. 3.	O encaminhamento desses recursos ao TSE    consubstanciaria, segundo o argüente, contrariedade ao disposto    nos incisos LIII, LIV, e LV do artigo 5°, e nos textos dos    incisos III e IV do § 4º do artigo 121 da Constituição do Brasil,    vez que os Tribunais Regionais Eleitorais não teriam apreciado    previamente as questões de que tratam.4.	A relevância da    controvérsia quanto à competência do Tribunal Superior Eleitoral    para examinar originariamente recursos contra a expedição de    diploma e o perigo de lesão ensejaram o deferimento monocrático    de medida liminar.5.	O Tribunal dividiu-se quanto à    caracterização do fumus boni iuris e do periculum in mora e,    contra o voto do Ministro Relator, não referendou a    cautelar.","eleicao"
"144","Inq 1935 QO","SEPÚLVEDA PERTENCE","04/06/2004","12/05/2004","Tribunal Pleno","EMENTA: I. STF: competência originária por prerrogativa de funçãoque, cuidando-se de titular de mandato eletivo, firma-se na data dadiplomação e, por isso, não afeta a validade do recebimento daqueixa posterior à eleição, mas anterior à diplomação (cf. Inq571-QO).II. Queixa: crimes contra a honra.1. Inaptidão daqueixa, com relação à calúnia e à difamação, por não haver, nodiscurso incriminado, a imputação ao querelante da prática de fatodeterminado criminoso ou ofensivo à sua reputação.2. Prescriçãoda pretensão punitiva quanto à eventual imputação de injúria.","eleicao"
"145","AI 264217 AgR","DIAS TOFFOLI","26/04/2012","20/03/2012","Primeira Turma","EMENTA    Agravo regimental no agravo de instrumento. Acumulação de proventos de aposentadoria com vencimento decorrente do exercício de mandato eletivo. Possibilidade.    1. A eleição de servidor público aposentado para o exercício de cargo público permite-lhe o recebimento dos proventos do cargo eletivo cumulativamente com aqueles decorrentes de sua aposentadoria.    2. Irrelevante se mostra, para tal conclusão, que esse reingresso do aposentado no serviço público não tenha ocorrido por meio de concurso, já que inexiste norma constitucional impondo a vedação dessa cumulação de proventos.    3. Agravo regimental não provido.","eleicao"
"146","RE 68943 EDv","BILAC PINTO","02/04/1971","16/12/1970","Tribunal Pleno","EMBARGOS. Acórdão que, em processo derivado de relações obrigacionais, considerou legítima a eleição do fôro, não diverge de decisão contrárias a tal eleição, prolatadas, porém, em ações imobiliárias. Embargos não conhecidos.","eleicao"
"147","AP 914 AgR-segundo","RICARDO LEWANDOWSKI","28/11/2018","23/11/2018","Segunda Turma","Ementa: SEGUNDO AGRAVO REGIMENTAL. AÇÃO PENAL. FORO POR PRERROGATIVA DE FUNÇÃO. APLICAÇÃO APENAS AOS CRIMES COMETIDOS DURANTE O EXERCÍCIO DO CARGO E RELACIONADOS ÀS FUNÇÕES DESEMPENHADAS. COMPETÊNCIA ABSOLUTA. MATÉRIA DE ORDEM PÚBLICA. PRECEDENTE FIRMADO PELO PLENÁRIO QUE AUTORIZA O JULGAMENTO IMEDIATO DAS CAUSAS COM O MESMO TEMA, INDEPENDENTE DE PUBLICAÇÃO OU TRÂNSITO EM JULGADO. FATOS EM APURAÇÃO OCORRERAM ANTES DA ELEIÇÃO DO INVESTIGADO PARA O CARGO DE DEPUTADO FEDERAL. ATOS QUE NÃO TÊM RELAÇÃO COM O EXERCÍCIO DE FUNÇÕES PARLAMENTARES. NECESSIDADE DE REMESSA DO FEITO AO JUÍZO COMPETENTE PARA O PROSSEGUIMENTO DAS INVESTIGAÇÕES. NÃO APLICAÇÃO DA EXCEPCIONAL HIPÓTESE DE PRORROGAÇÃO DA COMPETÊNCIA. ÚLTIMO ATO PROCESSUAL FOI O DE INTIMAÇÃO DAS PARTES PARA APRESENTAR REQUERIMENTO DE DILIGÊNCIAS. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    I – O foro por prerrogativa de função aplica-se apenas aos crimes cometidos durante o exercício do cargo e relacionados às funções desempenhadas.    II – Entendimento consolidado nesta Corte Constitucional de que precedente firmado pelo Plenário autoriza o julgamento imediato das causas que apresentam o mesmo tema, independente de publicação ou trânsito em julgado.     III – Os fatos em apuração no inquérito ocorreram antes da eleição do investigado para o cargo de deputado federal e não têm relação com o exercício de funções parlamentares.     IV - Não se aplica a excepcional hipótese de prorrogação de competência fixada, porquanto o último ato processual praticado foi o de intimar as partes para apresentar requerimento de diligências, nos exatos moldes do que preconiza do art. 10 da Lei 8.038/1.990.    V – Agravo Regimental a que se nega provimento.","eleicao"
"148","AO 813 AgR","SEPÚLVEDA PERTENCE","31/08/2001","15/08/2001","Tribunal Pleno","EMENTA: I. STF: declinação de ofício de sua competênciaoriginária: legitimação para recorrer.1. Em tese, as partes adversas no processo sãoconcorrentemente legitimadas para recorrer contra a decisão do órgãojurisdicional perante o qual ajuizada a demanda, que, de ofício,decline de sua competência para conhecer dela: assim, alitisconsorte passiva necessária está legitimada a interpor agravode decisão liminar do relator que recusa a competência original doSTF para a causa, afirmada pelo impetrante.II. Recurso: prazo do listiconsorte passivo necessário,ainda não citado.2.  O prazo para recurso do litisconsorte passivonecessário e ainda não citado não corre da publicação da decisãorecorrida - que só é forma de intimação das partes já integradas narelação processual -, mas do momento em que dela tenha ciência.III.  Mandado de segurança: coação emanada de ato dosTribunais: competência originária (LOMAN, art. 21, VI, e Cf, art.102, I, n).3. O art. 21, VI, da LOMAN - que atribui a cada Tribunal acompetência originária para conhecer do mandado de segurança contraos seus próprios atos - foi recebido pela ordem constitucionalsuperveniente, salvo quando compreendido o caso no âmbito da regraespecial de competência originária do STF, do art. 102, I, n, daConstituição.IV.  STF: competência originária: CF, art. 102, I, n:inteligência: caso em que não há, em princípio, razões para afirmar-lhe a incidência.4.  No mandado de segurança em que juiz de determinadoTribunal pleiteia ser declarado eleito para um dos cargos de suadireção, em detrimento do litisconsorte - cuja eleição para o mesmoposto pretende nula -, o interesse direto na causa a ambos seadstringe.5.  Com relação aos demais membros do Tribunal, o fato dehaverem participado com seus votos da formação dos atosadministrativos questionados não lhes acarreta, por si só, neminteresse direto ou indireto na solução do mandado de segurança, nemimpedimento para julgá-lo.6.  Do princípio do juiz natural, não cabe inferir apresunção de parcialidade dos magistrados que hajam votado naeleição discutida, para a decisão jurisdicional acerca de sualegitimidade jurídica: de bem pouco valeria a isenção juramentadados juízes, se o fato de haver sufragado um ou outro candidato, emdeterminada eleição, tolhesse a cada um dos eleitores aimparcialidade para julgar - à luz dos princípios e não dapreferência eleitoral - da validade do pleito.","eleicao"
"149","ADI 6359 MC-Ref","ROSA WEBER","10/11/2020","14/05/2020","Tribunal Pleno","EMENTA    MEDIDA CAUTELAR EM AÇÃO DIRETA DE INCONSTITUCIONALIDADE. PRAZO PARA FILIAÇÃO PARTIDÁRIA. PEDIDO DE SUSPENSÃO POR TRINTA DIAS. ART. 9º, CAPUT, DA LEI Nº 9.504/1997, ART. 1º, IV, V E VII, DA LEI COMPLEMENTAR Nº 64/1990, E, POR ARRASTAMENTO, ART. 10, CAPUT E § 4º, DA RESOLUÇÃO TSE Nº 23.609/2019 E RESOLUÇÃO TSE Nº 23.606/2019 (CALENDÁRIO PARA AS ELEIÇÕES DE 2020). EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS (COVID-19). ALEGAÇÃO DE INCONSTITUCIONALIDADE CIRCUNSTANCIAL OU TRANSIÇÃO PARA A INCONSTITUCIONALIDADE. ALEGAÇÃO DE AFRONTA AO PRINCÍPIO DEMOCRÁTICO E À SOBERANIA POPULAR. INOCORRÊNCIA. RISCO DE VULNERAÇÃO À LEGITIMIDADE DO PROCESSO ELEITORAL. ART. 14, § 9º, DA CF. ANTERIORIDADE DA LEI ELEITORAL. ART. 16 DA CF. CALENDÁRIO ELEITORAL. DATAS E BALIZAS FIXADAS NA CONSTITUIÇÃO. ALTERAÇÃO SOMENTE MEDIANTE ATUAÇÃO DO PODER CONSTITUINTE DERIVADO. INDEFERIMENTO DA PRETENSÃO CAUTELAR. REFERENDO.    1. Indefere-se pretensão cautelar de suspensão temporária da eficácia de atos normativos primários – inscritos em lei ordinária e em lei complementar – fundada em alegação de consubstanciarem leis em transição para a inconstitucionalidade ou circunstancialmente inconstitucionais.    2. Ferramentas hermenêuticas de tutela jurisdicional da Constituição, tais como a modulação temporal dos efeitos das decisões, a declaração de inconstitucionalidade sem pronúncia da nulidade, o apelo ao legislador e decisões de conteúdo aditivo ou manipulativo justificam-se por evitarem, em todo caso, um estado de exceção, em outras palavras, que o provimento jurisdicional não resulte, ele mesmo, em violação da Constituição mais grave do que a que se visou a extirpar. A decisão atípica proferida na jurisdição constitucional há de estar informada e legitimada pela deontologia extraída da própria Constituição, não ostentando caráter meramente consequencialista. É dever da jurisdição constitucional assegurar, sempre e em cada caso, a melhor harmonização possível entre a supremacia da Constituição, interesses sociais incontornáveis e os princípios da segurança jurídica, da razoabilidade e da proporcionalidade. A técnica da lei ainda constitucional tem lugar quando peculiaridades fáticas ou sociais impõem a validação provisória de norma a rigor inconstitucional para evitar-se situação de anomia ou dano ainda maior à ordem constitucional.    3. Inadequação da espécie, sequer demonstrado de forma satisfatória que o parâmetro fático-social decorrente da implementação das medidas de enfrentamento à pandemia da COVID-19 ora traduza situação justificadora da suspensão de direito objetivo cuja validade não está em jogo sob outro prisma.    4. Inocorrência de afronta ao princípio democrático e à soberania popular. A existência perene do regime democrático é assegurada pela reverência às regras conformadoras dos ritos e procedimentos que lhe são ínsitos e prazos como o de desincompatibilização não são meras formalidades, eis que visam a assegurar a isonomia, expressão do princípio republicano, na disputa eleitoral, e sua inobservância pode vulnerar a própria legitimidade do processo eleitoral, valor consagrado no art. 14, § 9º, da CF. O exame da história do Brasil revela que a desorganização anda de mãos dadas com a fraude.    5. O acolhimento da pretensão – imediata suspensão dos prazos do art. 9º, caput, da Lei nº 9.504/1997 e do art. 1º, IV, V e VII, da Lei Complementar nº 64/1990 e, por arrastamento, do art. 10, caput, e seu § 4º, da Resolução nº 23.609/2019 do TSE) – enfraqueceria as proteções contra o abuso do exercício de função, cargo ou emprego na administração direta ou indireta, incrementando de modo desproporcional o risco para a normalidade e a legitimidade das eleições (art. 14, § 9º, da CF), produzindo estado de coisas com potencial ainda maior de vulneração ao princípio democrático e à soberania popular: risco à cláusula pétrea da periodicidade do sufrágio (art. 60, § 4º, II, da CF), à soberania popular e ao Estado democrático de direito (art. 1º, parágrafo único, da CF).    6. O Supremo Tribunal Federal já assentou a sujeição das decisões judiciais que impliquem alteração de jurisprudência à exigência de anterioridade – ou anualidade – da lei eleitoral (art. 16 da CF), marco temporal objetivo cujo escopo é impedir mudanças abruptas na legislação, de modo a assegurar o devido processo legal eleitoral, o direito das minorias e a paridade de armas na disputa. Precedente: (RE 637.485/RJ, Relator Ministro Gilmar Mendes, Tribunal Pleno, julgamento em 01.8.2012, DJe 21.5.2013).    7. A alteração do calendário eleitoral vigente, a contemplar datas e balizas fixadas na Constituição, exige, em qualquer hipótese, a atuação do Congresso Nacional.    8. A ausência de referências jurisprudenciais a apoiar a tese da inconstitucionalidade circunstancial subjacente à pretensão, é sugestiva de que, embora criativa, não se coaduna, considerada a instabilidade normativa inerente ao conceito, com uma ordem jurídica conformada a um Estado democrático de direito marcado pelo império da lei, pela Supremacia da Constituição e pela reverência à segurança jurídica e à objetividade do direito positivo. Potencialmente conducente a horizonte político qualitativamente indiferenciável de um estado em que a vigência do direito inconveniente pode ser afastada e restabelecida ao sabor dos ventos, admitir a invocação de circunstâncias excepcionais para afastar temporariamente a aplicação do direito vigente configura procedimento incompatível com o conteúdo material do Estado constitucional.    9. Indeferimento de medida cautelar referendado.","eleicao"
"150","CC 7018","MOREIRA ALVES","18/08/1995","26/04/1995","Tribunal Pleno","EMENTA:  Conflito negativo de  competência entre o TribunalSuperior Eleitoral e o Superior Tribunal de Justiça.          -  Competência desta Corte para julga-lo (art. 102, I, ""o"",da Constituição Federal).          -  Sendo a  questão, objeto  do  requerimento em  causa, denatureza  eleitoral, a  competência  originaria para  seu  processo ejulgamento não e do Superior Tribunal de Justiça.          -  Em se tratando  de eleição municipal, a competência paraconhecer  e processar  a representação  prevista no  artigo 22 da LeiComplementar  64/90, não  e do  Tribunal  Regional Eleitoral,  nem doTribunal  Superior Eleitoral,  mas, sim,  do Juiz  da Zona Eleitoral,como dispõe o artigo 24 da mesma Lei.          Conheceu-se  do conflito, e  se deu pela competência do Dr.Juiz  da Zona Eleitoral de Nova Venecia, do Estado do Espirito Santo,para processar originariamente a representação eleitoral de que trataeste conflito de competência.","eleicao"
"151","Pet 7948 AgR","LUIZ FUX","13/02/2020","20/12/2019","Primeira Turma","Ementa: AGRAVO INTERNO NA PETIÇÃO. REQUERIMENTO DE INTERVENÇÃO DAS FORÇAS ARMADAS NO SEGUNDO TURNO DAS ELEIÇÕES PRESIDENCIAIS DE 2018. USO DE CÉDULAS DE PAPEL EM SUBSTITUIÇÃO ÀS URNAS ELETRÔNICAS. SOBERANIA DO VOTO POPULAR. PERDA DO OBJETO. INADEQUAÇÃO DA VIA ELEITA. INCOMPETÊNCIA DO SUPREMO TRIBUNAL FEDERAL. ROL TAXATIVO DO ART. 102, I, DA CONSTITUIÇÃO. AUSÊNCIA DE IMPUGNAÇÃO ESPECÍFICA AOS FUNDAMENTOS DA DECISÃO AGRAVADA. ARTIGO 1.021, § 1º, CPC E ARTIGO 317, § 1º, DO REGIMENTO INTERNO DO STF. PRECEDENTES. AGRAVO A QUE SE NEGA PROVIMENTO.    1. A competência originária do Supremo Tribunal Federal se restringe às hipóteses dispostas no artigo 102, I, da Constituição da República, não lhe cabendo apreciar pedidos estranhos àqueles, conforme dispõe a jurisprudência desta Corte.    2. O recurso deixou de impugnar a questão da incompetência deste Tribunal. Dessa forma, impõe-se, por consectário lógico, a rejeição liminar do pedido, de acordo com o artigo 1.021, § 1º, do Código de Processo Civil, e com o artigo 317, § 1º, do Regimento Interno do Supremo Tribunal Federal.    3. A perda do objeto desta ação é manifesto, haja vista o término do segundo turno das eleições de 2018, sem o vislumbre de questionamento à sua lisura, tampouco de indícios de fraude em sua realização.    4. Inexiste qualquer benefício em desconstituir o resultado eleitoral proferido, sem indícios de operação fraudulenta, mas o ato produziria tão somente instabilidade do funcionamento das instituições com tamanha insegurança jurídica, geração de despesas desnecessárias e inconvenientes à população brasileira.    5. A via de “Petição” é inadequada para discutir a constitucionalidade de resolução do Tribunal Superior Eleitoral, sem o devido ajuizamento de ação própria.    6. Agravo a que se nega provimento.","eleicao"
"152","SEC 5066","MAURÍCIO CORRÊA","27/09/1996","19/06/1996","Tribunal Pleno","EMENTA: HOMOLOGAÇÃO DE SENTENÇA ESTRANGEIRA DEDIVÓRCIO.CONSTESTAÇÃO: SENTENÇA PROFERIDA POR JUIZ INCOMPETENTE, CITAÇÃO NULAE NÃO COMPROVAÇÃO DO TRÂNSITO EM JULGADO. ART. 217, I A III, DOREGIMENTO INTERNO.                1. Casamento realizado no Brasil e aqui domiciliado ocasal desde antes da união até a presente data, e não tendo havidoeleição de foro estrangeiro, com a concordância de ambos, éincompetente para decretar o divórcio perante as leis brasileiras ojuiz norte-americano, ainda que desta nacionalidade seja um doscônjuges.                2. É nula a citação realizada no Brasil de acordo comas leis norte-americanas, mediante notificação remetida por cartório deregistro de títulos e documentos, redigida em língua estrangeira.                3. Não se homologa sentença estrangeira sem prova doseu trânsito em julgado: Súmula 420.                4. Homologação indeferida.","eleicao"
"153","RMS 22910","MARCO AURÉLIO","04/12/1998","28/08/1998","Segunda Turma","MANDADO DE SEGURANÇA - OBJETO - DECISÃO TRÂNSITA EMJULGADO. Conforme assentado por esta Corte, ""não cabe mandado desegurança contra decisão judicial com trânsito em julgado"", ópticasomente afastável em se tratando de quadro revelador de verdadeirateratologia. Isto não ocorre relativamente à situação concreta naqual, em eleições pretéritas, o candidato teve o pedido de registroindeferido, considerada rejeição de contas, e, na eleiçãosubseqüente, em que concedido o registro, já lançara mão dafaculdade prevista na parte final da alínea ""g"" do inciso I doartigo 1º da Lei Complementar nº 64/90.        MANDADO DE SEGURANÇA - DECADÊNCIA - DECLARAÇÃO NOJULGAMENTO DE RECURSO ORDINÁRIO - VIABILIDADE. Possível é negar-seprovimento a recurso interposto contra decisão proferida em mandadode segurança a partir de conclusão sobre a incidência do prazodecadencial de cento e vinte dias.","eleicao"
